"CO_ESCOLA";"CO_MUNICIPIO_ESC"
25000047;2502003
25000055;2502003
25000349;2502300
25000640;2502805
25000659;2502805
25001302;2514651
25001477;2502904
25001825;2504306
25001833;2504306
25001906;2504306
25001914;2504306
25002341;2504306
25002422;2507408
25002457;2509370
25003054;2508109
25003410;2512804
25003844;2513901
25004875;2500700
25004883;2500700
25004999;2500700
25005995;2512077
25006029;2502201
25006223;2502409
25007092;2503308
25007718;2503704
25007726;2503704
25007742;2503704
25007785;2503704
25007815;2503704
25007840;2503704
25007904;2503704
25009095;2503704
25009192;2504108
25009559;2509602
25009931;2513307
25010565;2514503
25010689;2514503
25010727;2514503
25011669;2514503
25012193;2502052
25012207;2516805
25012916;2516904
25012924;2516904
25012932;2513653
25012940;2512036
25012967;2516904
25013840;2504504
25014226;2505501
25014412;2508406
25014692;2508802
25014951;2510006
25015320;2510907
25015869;2512101
25015885;2512101
25015893;2512101
25016059;2503753
25016105;2513927
25016164;2513968
25017080;2513208
25017438;2514206
25018000;2516201
25018060;2516201
25018078;2516201
25018094;2500775
25018140;2516201
25018183;2516201
25018191;2516201
25018248;2516201
25018264;2516201
25018272;2516201
25018280;2516201
25018299;2516201
25018582;2516201
25018639;2516201
25019228;2516201
25019538;2509156
25019597;2513984
25019740;2517209
25019813;2503407
25020102;2508703
25020366;2510709
25020374;2501153
25020650;2510808
25020668;2510808
25020854;2510808
25020889;2510808
25020900;2510808
25020919;2510808
25020927;2510808
25020935;2510808
25020960;2510808
25020986;2510808
25021427;2510808
25022059;2512606
25022296;2513802
25022652;2514404
25023187;2514602
25023446;2500205
25023454;2500205
25023489;2500205
25023896;2502607
25024175;2504207
25024523;2504801
25024558;2504801
25025368;2505907
25025635;2510204
25025830;2510402
25026259;2511301
25027026;2511301
25027174;2513604
25027557;2502102
25027573;2502102
25027930;2504405
25028103;2513356
25029576;2505303
25029789;2505600
25029797;2505600
25030116;2506608
25030159;2506608
25030566;2507002
25030698;2507002
25031155;2507002
25031481;2511004
25031783;2513505
25032518;2514305
25032968;2515708
25033204;2500106
25033786;2505402
25033794;2503555
25034200;2506707
25034219;2506707
25034820;2508000
25034839;2508000
25035436;2509008
25035444;2509008
25036017;2509008
25036300;2512309
25036335;2512309
25037137;2514552
25037226;2516607
25037234;2516607
25037781;2509396
25037803;2516706
25038478;2507804
25038796;2513000
25039032;2513406
25039504;2514701
25039997;2514909
25040014;2514909
25040600;2517100
25040820;2505006
25040839;2505006
25041185;2506202
25041525;2507705
25042351;2510303
25042661;2511103
25043242;2501534
25043269;2511400
25043277;2511400
25043897;2515401
25044362;2503902
25044788;2504702
25045059;2508505
25045377;2509701
25045466;2509701
25045555;2509701
25046764;2510600
25046950;2512200
25047116;2514107
25047450;2514800
25047469;2510659
25048350;2515203
25048368;2517407
25048775;2515500
25048880;2515500
25049372;2504850
25049496;2516300
25049640;2500734
25050427;2501351
25050435;2516508
25050486;2516508
25051296;2501708
25051580;2502508
25051598;2500536
25051660;2512788
25052497;2501575
25052802;2504355
25053124;2503100
25053493;2513943
25053728;2506509
25054023;2513851
25054155;2514008
25054180;2514008
25054490;2504074
25054783;2500908
25055046;2501609
25055836;2505105
25056581;2516151
25056620;2510105
25057146;2512002
25057820;2512705
25057839;2512705
25058304;2516102
25058347;2516102
25058975;2501005
25058991;2512747
25059629;2503506
25060058;2505709
25060376;2516003
25060406;2516003
25060996;2516409
25061402;2501203
25061720;2506004
25061739;2506004
25062069;2509503
25062220;2515104
25062638;2500304
25062816;2500304
25063340;2500403
25063359;2509339
25064126;2501104
25064134;2501104
25064142;2501104
25064738;2501104
25064894;2501500
25065025;2501500
25065513;2502706
25065726;2511608
25066013;2515906
25066374;2500502
25066676;2500809
25067133;2501906
25067460;2503605
25067737;2508554
25067869;2505204
25068075;2505808
25068342;2515930
25068628;2506301
25068636;2506301
25068644;2506301
25068652;2506301
25068709;2506301
25068725;2506301
25069357;2508208
25069675;2509800
25069683;2509800
25069721;2509800
25070088;2511707
25070290;2511806
25070312;2511806
25070576;2515609
25070703;2504009
25071394;2504009
25071939;2504009
25072005;2504009
25072013;2504009
25072021;2504009
25072030;2504009
25072056;2504009
25072064;2504009
25072080;2504009
25072099;2504009
25072102;2504009
25072110;2504009
25072129;2504009
25072137;2504009
25072145;2504009
25072153;2504009
25072161;2504009
25072218;2504009
25072234;2504009
25072242;2504009
25072277;2504009
25072285;2504009
25072293;2504009
25072307;2504009
25072340;2504009
25072404;2504009
25072412;2504009
25072420;2504009
