CO_MUNICIPIO_ESC,GERENCIA_REGIONAL
2507507,1
2507002,1
2504405,1
2515609,1
2505808,1
2512747,1
2508554,1
2512606,1
2511707,1
2502706,1
2515906,1
2511608,1
2505204,1
2503605,1
2504157,1
2515930,1
2509800,1
2501153,1
2517100,1
2514909,1
2507804,1
2503555,1
2509396,1
2508802,1
2504207,1
2510709,1
2514404,1
2514701,1
2508703,1
2513000,1
2503407,1
2514602,1
2505907,1
2513802,1
2505402,1
2505709,1
2516409,1
2502102,1
2513505,1
2511004,1
2513356,1
2515708,1
2505303,1
2500205,1
2513901,1
2502805,1
2512804,1
2507408,1
2502003,1
2502904,1
2502300,1
2504306,1
2511806,1
2506608,1
2502607,1
2512507,1
2500809,1
2503506,1
2501906,1
2501005,1
2501500,1
2510204,1
2516003,1
2511301,1
2504801,1
2513604,1
2505600,1
2510402,1
2514305,1
2506301,1
2516706,1
2513406,1
2510808,1
2509909,1
2517001,1
2501575,1
2506251,1
2508505,1
2502151,1
2507200,1
2501203,1
2513158,1
2501708,1
2509503,1
2503100,1
2500536,1
2504355,1
2515807,1
2509339,1
2506103,1
2500908,1
2506004,1
2500304,1
2508307,1
2501104,1
2500403,1
2512705,1
2515104,1
2501302,1
2507705,1
2502508,1
2516508,1
2516102,1
2509206,1
2512408,1
2512002,1
2501351,1
2510501,1
2516755,1
2504702,1
2514107,1
2512200,1
2504074,1
2514008,1
2514800,1
2503902,1
2515203,1
2510600,1
2513851,1
2517407,1
2500734,1
2504850,1
2510659,1
2506509,1
2515500,1
2516300,1
2509701,1
2513943,1
2500577,1
2512788,1
2505105,1
2511400,1
2501609,1
2515401,1
2510105,1
2511103,1
2505006,1
2505352,1
2501534,1
2510303,1
2516151,1
2506202,1
2509370,1
2514651,1
2500502,1
2504009,1
2509008,1
2506707,1
2516607,1
2512101,1
2508406,1
2513984,1
2517209,1
2513208,1
2509156,1
2510006,1
2514206,1
2500775,1
2516201,1
2508901,1
2512903,1
2507101,1
2507309,1
2501401,1
2509057,1
2500106,1
2509305,1
2508000,1
2511202,1
2510907,1
2512754,1
2514453,1
2503803,1
2504504,1
2508109,1
2513927,1
2505501,1
2503753,1
2513968,1
2515005,1
2507606,1
2507903,1
2511509,1
2513109,1
2509404,1
2506400,1
2506806,1
2506905,1
2514552,1
2508208,1
2512309,1
2505238,1
2504603,1
2503001,1
2512762,1
2500601,1
2503704,1
2514503,1
2500700,1
2516904,1
2502409,1
2503308,1
2516805,1
2513307,1
2511905,1
2504900,1
2508604,1
2515971,1
2504033,1
2515302,1
2503209,1
2509107,1
2505279,1
2513703,1
2512036,1
2502052,1
2504108,1
2509602,1
2501807,1
2513653,1
2512077,1
2512721,1
2502201,1
2513943,2
2516755,2
2510501,2
2501351,2
2509339,2
2506202,2
2516151,2
2510303,2
2510105,2
2500577,2
2505501,2
2513927,2
2508109,2
2504504,2
2510907,2
2512101,2
2501534,2
2505352,2
2505006,2
2511103,2
2505105,2
2511400,2
2501609,2
2515401,2
2512788,2
2504355,2
2504033,2
2505279,2
2509305,2
2507705,2
2512002,2
2501302,2
2512705,2
2500403,2
2501104,2
2508307,2
2500304,2
2508208,2
2506004,2
2501401,2
2507309,2
2507101,2
2512903,2
2508901,2
2512507,2
2504009,2
2503753,2
2513968,2
2509057,2
2500536,2
2502508,2
2516102,2
2512721,2
2505238,2
2503100,2
2509503,2
2501708,2
2513158,2
2515807,2
2501203,2
2502151,2
2516508,2
2508505,2
2501575,2
2517001,2
2509909,2
2507200,2
2506103,2
2515104,2
2500908,2
2512408,2
2509206,2
2506251,2
2512754,2
2502904,2
2503803,2
2500700,2
2516904,2
2502409,2
2503308,2
2516805,2
2513307,2
2509602,2
2512077,2
2512036,2
2502052,2
2504108,2
2513653,2
2502201,2
2516201,2
2500775,2
2514206,2
2510006,2
2509156,2
2513208,2
2517209,2
2513984,2
2508406,2
2512606,2
2514503,2
2503704,2
2507002,2
2504405,2
2502003,2
2507408,2
2512804,2
2502805,2
2504306,2
2513901,2
2509370,2
2514651,2
2505303,2
2515708,2
2513356,2
2501153,2
2511004,2
2502102,2
2500205,2
2506608,2
2510204,2
2502607,2
2514305,2
2510402,2
2505600,2
2513604,2
2504801,2
2511301,2
2513505,2
2514453,2
2510709,2
2505907,2
2510600,2
2506509,2
2515203,2
2514800,2
2514008,2
2502300,2
2512200,2
2514107,2
2504702,2
2503902,2
2515500,2
2516300,2
2509701,2
2511202,2
2506905,2
2506806,2
2506400,2
2509404,2
2513109,2
2511509,2
2507903,2
2507606,2
2515005,2
2513851,2
2517407,2
2500734,2
2504850,2
2514602,2
2503407,2
2513000,2
